流す行,発話者,立ち絵,テキスト,場所,
27,Player,Normal,あ,Left,
27,Riska,Surprised,さあ、どうだい？救おうという気は起きたかな？,Right,
28,Riska,Surprised,あ,Right,
28,Player,Conversation,ん、まあ可哀想だとは思う…,Left,
29,Riska,Surprised,あ,Right,
29,Player,Suspicious,今はまだ人を救いたいと思う心の余裕がない,Left,
30,Riska,Normal,あ,Right,
30,Player,Suspicious,ぬいぐるみの言うこともなんだか他人事とは思えない、まるでこちらに教えを説いているような…,Left,
31,Riska,Normal,あ,Right,
31,Player,Conversation,実際、私に時間がないのも確か、将来何になりたいかなんて皆目見当もつかない,Left,
32,Riska,Normal,あ,Right,
32,Player,Conversation,今はただ、生きたいように生きるだけ,Left,
33,Riska,Normal,あ,Right,
33,Player,Suspicious,先なんて考えたくもない,Left,
34,Riska,Normal,あ,Right,
34,Player,Conversation,結局みんなそうやって型にはまっていく、私もこのままなら同じ…,Left,
35,Riska,Normal,あ,Right,
35,Player,Suspicious,贅沢な悩み、痛く引っかかる言葉だなぁ…,Left,
36,Riska,Normal,あ,Right,
36,Player,Normal,でも躊躇はなくなった、倒さなきゃいけない敵はなんだって倒す,Left,
37,Riska,Normal,あ,Right,
37,Player,Smiling,なんだって倒していれば自動的に救われる、それでいいじゃん♪,Left,
38,Riska,Normal,あ,Right,
38,Player,Normal,大切なのは目の前のヤミ、救うなんて考えは二の次三の次,Left,
39,Player,Normal,あ,Left,
39,Riska,Surprised,おお、見てYUMEMIちゃん、扉があるよ,Right,
40,Riska,Surprised,あ,Right,
40,Player,Suspicious,でっか…なにこれ…？,Left,
41,Player,Conversation,あ,Left,
41,Riska,Surprised,ヤミの深淵、いわゆるボス部屋だね,Right,
42,Riska,Surprised,あ,Right,
42,Player,Conversation,ボス？てことはここがヤミの一番奥…,Left,
43,Riska,Normal,あ,Right,
43,Player,Normal,つまりそいつをぶっ飛ばせば、私は帰れてこの人は救われる,Left,
44,Riska,Normal,あ,Right,
44,Player,Smiling,おっ、ちょっとだけヒーローの実感が湧いてきた♪,Left,
45,Player,Smiling,あ,Left,
45,Riska,Normal,当たり前だけどボスは手強いよ、一筋縄で倒せる相手じゃない,Right,
46,Player,Smiling,あ,Left,
46,Riska,Surprised,気を引き締めて行こう,Right,
47,Riska,Surprised,あ,Right,
47,Player,Conversation,珍しく真面目なぬいぐるみ、それほど相手は只者ではないということ...?,Left,
48,Riska,Surprised,あ,Right,
48,Player,Suspicious,うっ…和らぎかけていた恐怖が舞い戻ってくる...,Left,
49,Player,Suspicious,あ,Left,
49,Riska,Normal,君の武器はそのチョーカーだけじゃない、発想や閃きもチョーカーを強くするための重要な武器だ,Right,
50,Player,Suspicious,あ,Left,
50,Riska,Surprised,できるさきっと！君なら！多分！,Right,
51,Riska,Normal,あ,Right,
51,Player,Suspicious,……そう。,Left,
52,Riska,Surprised,あ,Right,
52,Player,Suspicious,まるで確証がない激励…あまりいい気持ちではないけど今は言葉をかけてくれることが何よりありがたいな,Left,
53,Riska,Normal,あ,Right,
53,Player,Normal,ふぅ〜………よし！,Left,
54,Riska,Normal,あ,Right,
54,Player,Normal,覚悟を決めて私は扉に手を触れた…,Left,
