流す行,発話者,立ち絵,テキスト,場所,
19,Riska,Normal,君の場合、「救いたければ＿」より「帰りたければ＿」って説得した方がやる気出そうだね,Right,
20,Riska,Normal,あ,Right,
20,Player,Suspicious,大体がそうじゃない？,Left,
21,Riska,Normal,あ,Right,
21,Player,Normal,（まだ私は人を救おうなんて考えてない）,Left,
22,Riska,Happy,あ,Right,
22,Player,Normal,（助かりたいのはとにかく自分、この場にいる自分さよければいい…）,Left,
23,Riska,Normal,あ,Right,
23,Player,Conversation,（そもそもこの人知らないし、知らない人の脳内に閉じ込められるなんてほんと勘弁！）,Left,
24,Riska,Normal,あ,Right,
24,Player,Suspicious,（ぬいぐるみの発言から、この一回で終わることはないだろうし）,Left,
25,Riska,Normal,あ,Right,
25,Player,Conversation,（”とにかく救う”、これはあながち間違いでもないのかも）,Left,
26,Riska,Happy,あ,Right,
26,Player,Conversation,（自分のためにも、知らない誰かのためにも救わなきゃまず自分が生きれない）,Left,
27,Riska,Normal,あ,Right,
27,Player,Suspicious,（こんなぬいぐるみから自利利他を説かれるとは…）,Left,
28,Player,Normal,あ,Left,
28,Riska,Normal,さて、チョーカーの使い方には慣れたかな？,Right,
29,Riska,Normal,あ,Right,
29,Player,Suspicious,…まだ心臓がキュってなる,Left,
30,Player,Normal,あ,Left,
30,Riska,Surprised,ははっ！まあそうだろうね！,Right,
31,Player,Normal,あ,Left,
31,Riska,Surprised,いきなり命綱なしの空中ブランコなんてスリリングでたまんないね！,Right,
32,Player,Normal,あ,Left,
32,Player,Suspicious,（...まだこのテンションについていけない）,Left,
33,Riska,Normal,あ,Right,
33,Player,Suspicious,（楽しんでいいの？この状況。その方が楽に進めはするだろうけど）,Left,
34,Riska,Normal,あ,Right,
34,Player,Conversation,（なんか人様の脳内ではしゃぐのも失礼だよなぁ、それもヤミオーラが出てる人の）,Left,
35,Riska,Normal,あ,Right,
35,Player,Suspicious,（そんなルールも法律もモラルもないけど、自分の中の良心がそう言ってる...）,Left,
36,Player,Surprised,あ,Left,
36,Riska,Normal,そういえば空中ブランコで思い出したけど,Right,
37,Player,Normal,あ,Left,
37,Riska,Normal,君が拾ったそのパズルのピースみたいなやつ、記憶の欠片っていうんだけど,Right,
38,Player,Normal,あ,Left,
38,Riska,Surprised,これによると、この人はサーカス団の団員だったらしいよ,Right,
39,Riska,Surprised,あ,Right,
39,Player,Conversation,サーカス団？,Left,
40,Player,Conversation,あ,Left,
40,Riska,Normal,小島シンイチ、24歳、男、職業はサーカス団員,Right,
41,Player,Conversation,あ,Left,
41,Riska,Normal,18歳で高校を卒業したあと、大学受験に失敗したそうだ,Right,
42,Player,Normal,あ,Left,
42,Riska,Surprised,それから2年ほどフリーターをやって、将来を見失いかけていたとき、ふと小さい頃に見たサーカスに感動したことを思い出して、近くのサーカス団の面接を受けたそうだ,Right,
43,Riska,Surprised,あ,Right,
43,Player,Conversation,（なるほど、やけにこの世界が遊園地っぽいなと思ったら…）,Left,
44,Riska,Normal,あ,Right,
44,Player,Conversation,その記憶がこの世界を作り出したってこと…,Left,
45,Player,Conversation,あ,Left,
45,Riska,Surprised,そう！その通り！,Right,
46,Player,Normal,あ,Left,
46,Riska,Surprised,脳内が形作る記憶の世界っていうのは、深層心理に秘めた強烈な思い出や人生がメインテーマとなって、闇を纏い姿を現す,Right,
47,Player,Normal,あ,Left,
47,Riska,Normal,その人のヤミを象徴する証ともいえるね,Right,
48,Player,Normal,あ,Left,
48,Riska,Normal,それにこの記憶の欠片、これもその人のヤミを読み解く重要なピースになりそうだ,Right,
49,Player,Normal,あ,Left,
49,Riska,Surprised,全部拾い集めてよりこの人を理解することが深層心理攻略の重要な鍵になるだろうね,Right,
50,Player,Normal,あ,Left,
50,Riska,Normal,取り忘れは極力しないほうがいいと思うよ,Right,
51,Riska,Normal,あ,Right,
51,Player,Normal,……。,Left,
52,Riska,Normal,あ,Right,
52,Player,Suspicious,（なんでこんなにもこの世界のことを知っているんだろ…）,Left,
53,Riska,Normal,あ,Right,
53,Player,Conversation,（マイン・ド・ダイブの時も、そうしたらそうなることをわかっていたけど…）,Left,
54,Riska,Normal,あ,Right,
54,Player,Conversation,（一連の深層心理攻略の手順を知っているんだとしたら、既に何回かこの経験をしたことがあるってこと？）,Left,
55,Riska,Normal,あ,Right,
55,Player,Suspicious,（色々勘ぐってしまう…今はわからないままでいよう）,Left,
56,Riska,Normal,あ,Right,
56,Player,Smiling,（その方がとりあえず幸せ、それより今重要なのは…）,Left,
57,Player,Normal,あ,Left,
57,Riska,Surprised,深層心理の最奥に行ってヤミをぶっ飛ばしてさっさとここを出ることだね！,Right,
58,Riska,Smiling,あ,Right,
58,Player,Suspicious,（このぬいぐるみは、どこまで人の心を読める気？）,Left,
59,Player,Surprised,あ,Left,
59,Riska,Surprised,ほらほら、立ち止まっている暇はないよ！早く次のステージに行こう！,Right,
60,Riska,Surprised,あ,Right,
60,Player,Suspicious,ちょっ！勝手に行くなってば！,Left,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
